,star_id,id,observation_id,ra,dec,instrument,counts,iodine_in,bjd,obs_type
235,HD 12572,1606678,j488.99,2.0602583,21.280611,HIRES,60052,t,2459828.90018555,RV
236,HD 12572,1607927,j488.315,2.0602583,21.280611,HIRES,60132,t,2459830.01288623,RV
237,HD 12572,1628499,dfj.116,2.0602583,21.280611,APF,270000000,t,2459851.8887431,RV
238,HD 12572,1628500,dfj.117,2.0602583,21.280611,APF,271000000,t,2459851.8983621,RV
239,HD 12572,1635906,dfl.727,2.0602583,21.280611,APF,272000000,t,2459853.89749404,RV
240,HD 12572,1635907,dfl.728,2.0602583,21.280611,APF,270000000,t,2459853.90572404,RV
241,HD 12572,1626313,dfp.820,2.0602583,21.280611,APF,270000000,t,2459857.88087891,RV
242,HD 12572,1626314,dfp.821,2.0602583,21.280611,APF,270000000,t,2459857.89321791,RV
243,HD 12572,1631942,dft.110,2.0602583,21.280611,APF,271000000,t,2459861.86839479,RV
244,HD 12572,1631943,dft.111,2.0602583,21.280611,APF,270000000,t,2459861.88552479,RV
245,HD 12572,1637442,dga.325,2.0602583,21.280611,APF,270000000,t,2459868.87670957,RV
246,HD 12572,1637443,dga.326,2.0602583,21.280611,APF,270000000,t,2459868.88895457,RV
247,HD 12572,1638046,dgf.717,2.0602583,21.280611,APF,270000000,t,2459873.86458442,RV
248,HD 12572,1638047,dgf.718,2.0602583,21.280611,APF,271000000,t,2459873.87760542,RV
249,HD 12572,1643164,j497.65,2.0602583,21.280611,HIRES,60504,t,2459895.96632973,RV
250,HD 12572,1676172,dhg.715,2.0602583,21.280611,APF,270000000,t,2459900.76545163,RV
251,HD 12572,1676173,dhg.716,2.0602583,21.280611,APF,253000000,t,2459900.78253463,RV
252,HD 12572,1784161,dhk.117,2.0602583,21.280611,APF,270000000,t,2459904.82586152,RV
253,HD 12572,1784162,dhk.118,2.0602583,21.280611,APF,270000000,t,2459904.83959852,RV
254,HD 12572,1679322,dhr.709,2.0602583,21.280611,APF,270000000,t,2459911.75234532,RV
255,HD 12572,1679323,dhr.710,2.0602583,21.280611,APF,270000000,t,2459911.76463632,RV
256,HD 12572,1753325,j502.79,2.0602583,21.280611,HIRES,60044,t,2459953.75356046,RV
257,HD 12572,1820172,j503.63,2.0602583,21.280611,HIRES,60144,t,2459983.72975852,RV
258,HD 135694,1412760,j384.61,15.191464,71.84075,HIRES,60540,t,2459077.73858379,RV
259,HD 135694,1413672,j385.272,15.191464,71.84075,HIRES,164656,t,2459087.74974,RV
260,HD 135694,1413673,j385.1063,15.191464,71.84075,HIRES,250444,t,2459091.72340081,RV
261,HD 135694,1413965,j388.67,15.191464,71.84075,HIRES,185124,t,2459099.72825322,RV
262,HD 135694,1418235,j389.77,15.191464,71.84075,HIRES,250412,t,2459114.74301898,RV
263,HD 135694,1418317,j389.261,15.191464,71.84075,HIRES,250452,t,2459115.73301255,RV
264,HD 135694,1418679,j389.1268,15.191464,71.84075,HIRES,250208,t,2459120.72545025,RV
265,HD 135694,1418761,j389.1474,15.191464,71.84075,HIRES,125336,t,2459121.71840888,RV
266,HD 135694,1418854,j389.1671,15.191464,71.84075,HIRES,250484,t,2459122.72951617,RV
267,HD 135694,1418939,j389.1871,15.191464,71.84075,HIRES,250064,t,2459123.72717452,RV
268,HD 135694,1422684,j402.126,15.191464,71.84075,HIRES,250332,t,2459272.03583332,RV
269,HD 135694,1422935,j404.177,15.191464,71.84075,HIRES,250360,t,2459297.03811652,RV
270,HD 135694,1424186,j409.85,15.191464,71.84075,HIRES,250176,t,2459353.84565614,RV
271,HD 135694,1424371,cmi.689,15.191464,71.84075,APF,253000000,t,2459356.78673749,RV
272,HD 135694,1424524,j411.107,15.191464,71.84075,HIRES,250992,t,2459361.92522805,RV
273,HD 135694,1424685,cmp.504,15.191464,71.84075,APF,323000000,t,2459363.8760355,RV
274,HD 135694,1424986,j413.517,15.191464,71.84075,HIRES,-1,t,2459367.96109607,RV
275,HD 135694,1425098,j413.696,15.191464,71.84075,HIRES,-1,t,2459368.7750921,RV
276,HD 135694,1425040,cmu.798,15.191464,71.84075,APF,400000000,t,2459368.8803675,RV
277,HD 135694,1425462,j415.89,15.191464,71.84075,HIRES,250580,t,2459376.86298992,RV
278,HD 135694,1425463,j415.111,15.191464,71.84075,HIRES,250112,t,2459377.05487246,RV
