star_id,observation_id,instrument,ra_new,dec_new,vmag_new,counts,teff,vsini,logrhk,sval,bjd
T001610,j371.502,hires_j,17.56956,61.12147,10.9899997711182,10068,5950.4443914,5.51090727466,NaN,0.2273,2459012.89168072
191939,bsg.588,apf,20.134869,66.850722,nan,156000000,,,-5.13967883416206,0.141195134167,2458834.64673501
T001451,j426.467,hires_j,12.434953,61.258889,9.57999992370605,224232,,,-5.0364168352931,0.1543,2459445.76983199
HIP65469,j409.74,hires_j,13.41884,38.92237,9.97000026702881,125116,,,-4.44821880115044,0.7091,2459353.78771441
135694,j415.111,hires_j,15.191464,71.84075,nan,250112,,,-4.73614847749084,0.2172,2459377.05487246
219134,acw.163,apf,23.221382,57.168355,5.57000017166138,386000000,,,-5.01352060710223,0.216705772586,2456705.64735412
T001194,j363.536,hires_j,11.1881,69.964722,11.3000001907349,125112,,,-5.02321439594312,0.1635,2458880.99953122
T001136,cmy.785,apf,12.812328,64.855,9.52999973297119,660000000,,,-4.50383479375057,0.316134632691,2459372.74698075
T001136,cyn.687,apf,12.812328,64.855,9.52999973297119,271000000,,,-4.51284524138,0.311452228495,2459673.80936801
93963,j469.878,hires_j,10.85178,25.64106,9.18000030517578,250260,,,-4.79114701995707,0.1949,2459741.80190563
95072,cxg.229,apf,10.98515,40.98372,nan,540000000,,,,,2459640.75515442
154840,j431.568,hires_j,17.075917,56.8425,9.17000007629395,250204,,,-5.08843116154996,0.1444,2459484.71372298
TIC142381532,bxe.083,apf,13.081314,63.753056,10.7299995422363,41200000,,,-4.86638434235265,0.31736048593,2458962.66447367
219134,j829.135,hires_j,23.221382,57.168355,5.57000017166138,407336,,,-4.94245452131191,0.251,2455143.79697104
T001753,j366.499,hires_j,16.831322,61.173333,11.8299999237061,10108,5620.16075133,1.2457392236,-5.11549404484858,0.1456,2458919.0727778
63935,bta.095,apf,7.8616778,9.3865,nan,200000000,,,-5.29962005985695,0.123033258064,2458854.69863207
155060,j429.169,hires_j,17.132206,32.105583,nan,251952,,,-5.16739483841912,0.1356,2459470.71723785
63935,buy.091,apf,7.8616778,9.3865,nan,652000000,,,-4.95179984364363,0.173028161824,2458904.75829161
97658,j89.906,hires_j,11.242545,25.710385,7.71400022506714,251212,,,-4.9847277279857,0.172,2455314.77988631
T001890,j374.98,hires_j,18.64963,79.23835,12.3699998855591,10036,5886.28028503,1.33106916807,NaN,0.09756,2459024.93587238
219134,j882.129,hires_j,23.221382,57.168355,5.57000017166138,414544,,,-4.97871802320939,0.2328,2455875.82333014
63935,j366.468,hires_j,7.8616778,9.3865,nan,250256,,,-5.08803660822045,0.1486,2458918.96514823
