"Name","toi","vmag","ra","dec","teff","vsini","svalue","logrhk","mass","radius","last_observed","last_observed_apf","last_observed_hires_j","have_template_hires_j","have_template_apf","tic","ruwe","evol","toi_cand","per","rp","in_tks_drop","in_tks_sc2a"
"T001453","1453","11.11","17.214883","57.197778","4892","2.06119228826","0.1333","-5.21091779064802","0.714267371187","0.705","239","null","239","0","null","198390247","0.93","MS","1453.02","4.31322","1.33","0","0"
"T001472","1472","11.3","0.94095","48.6375","5097.5","1.4525674528","0.2122","-4.90680630458257","0.9112645251475","0.84","210","null","210","0","null","306955329","1","MS","1472.01","6.364103","4.7","0","0"
"T001486","1486","11.2","18.746525","62.685556","4093","3.27050601309","0.8306","-4.66933637539543","0.657506698848","0.655","227","null","227","0","null","233541860","1","MS","1486.01","0.26665","1.4","0","0"
"T001504","1504","10.58","22.104661","52.701667","5949","4.125385816905","0.1255","-5.29030706583597","1.223682028385","1.6265","23","null","23","1","null","326114850","1.01","MS","1504.01","1.24564","4.1","0","0"
"T001520","1520","10.15","23.34885","62.161111","6005","9.66381708771","0.1723","-4.93189505785339","1.10558418126","1.426","209","null","209","0","null","269238073","null","null","null","null","null","0","0"
"T001533","1533","10.95","23.683114","57.485","5191","2.45589462614","0.3848","-4.62822440601486","0.935386500355","0.843","42","null","42","1","null","345143460","1.03","MS","1533.01","3.6462","3.08","0","0"
"T001537","1537","10.93","23.238764","44.508611","5896.5","4.89168397809","0.2233","-4.74520956990168","1.043300086315","1.0775","42","null","42","0","null","173612049","1.03","MS","1537.01","6.49052","3.42","0","0"
"T001538","1538","10.35","23.799714","47.655556","5929","4.14277141512","0.2008","-4.80267382012425","1.16096252504","1.086","30","null","30","1","null","177244357","0.9","MS","1538.01","6.54692","6","0","0"
"T001609","1609","10.77","19.245028","60.670833","5948","4.45156187501","0.2022","-4.80454649574329","1.02194433306","1.05","15","null","15","1","null","229951289","1.07","MS","1609.01","13.3118","2.94","0","0"
"T001648","1648","10.43","3.0267444","69.229722","4827","1.98215551826","0.2309","-4.99494288542128","0.865830086857","0.791","170","null","170","0","null","376353509","0.9","MS","1648.01","7.33454","2.6","0","0"
"T001655","1655","11.13","4.07815","52.256944","5671","1.83078698192","0.15","-5.0707331463562","1.14416336453","1.039","170","null","170","0","null","266500992","1.1","MS","1655.01","3.27767","4.1","0","0"
"T001659","1659","10.08","18.528347","82.305833","5912","6.96748216464","0.26075","-4.60738583368769","1.05966003563","1.069","13","null","13","1","null","288631580","0.9","MS","1659.01","5.87731","2.1","0","0"
"T001669","1669","10.22","3.0637639","83.587222","5449","0.94641926245","0.143","-5.12730051307173","1.00656362798","1.066","150","null","150","0","null","428679607","0.9","MS","1669.01","2.67949","2.4","0","1"
"T001681","1681","10.97","5.4447361","56.963611","5654.40632826","1.75930113549","0.1419","-5.13479371214165","0.895244178684","0.910388747207","174","null","174","0","null","321041369","0.9","MS","1681.01","1.537559","3.4","0","0"
"T001686","1686","10.41","4.1154083","66.119444","5891","6.05807418043","0.09741","-6.39070794087887","1.29547688942","1.647","174","null","174","0","null","102672709","1.1","MS","1686.01","6.702137","4","0","0"
"T001687","1687","10.51","4.4556667","73.023611","5815.34817394","15.3105932089","0.2961","-4.55281778642999","1.04829311613","1.0010447815","174","null","174","0","null","103448870","1.1","MS","1687.01","10.257449","4","0","0"
"T001691","1691","null","18.160275","86.860278","5647","1.04925600629","0.1433","-4.96934202803275","0.96467750287","1.145","10","null","10","1","null","268334473","1.2","MS","1691.01","16.73164","3.7","0","1"
"T001694","1694","11.45","6.5165806","66.360556","5008","1.9070606404","0.09284","-5.78492033275004","0.843529302761","0.795","174","null","174","0","null","396740648","1.1","MS","1694.01","3.77013","5.9","0","0"
