,tic,toi,cps,ra,dec,vmag,smass,sradius,evol,ruwe,rp,period
1629,154867950,1652.01,T001652,188.3605,84.6791,9.41,0.92,1.99,SG,0.91,3.37,0.6665
1632,266500992,1655.01,T001655,61.1722,52.2571,11.125,0.94,1.15,MS,1.08,3.68,3.2777
1634,27677846,1657.01,T001657,66.3705,46.3659,10.286,0.91,0.79,MS,1.08,4.01,5.6258
1636,288631580,1659.01,T001659,277.925,82.3057,10.078,1.1,1.01,MS,0.89,2.06,5.8776
1637,311121985,1660.01,T001660,85.5811,49.5138,9.505,1.27,1.86,MS,0.86,3.74,1.3567
1641,353782445,1664.01,238876,276.938,55.7557,9.652999999999999,1.17,1.34,MS,1.04,2.54,11.8349
1646,428679607,1669.01,T001669,45.9529,83.5876,10.218,0.98,1.07,MS,0.91,2.25,2.6795
1647,441739020,1670.01,T001670,259.0173,72.1612,9.889,1.26,1.31,MS,,11.05,40.7494
1650,468828873,1672.01,T001672,91.8723,66.8579,10.55,1.13,1.89,MS,1.23,5.18,3.8967
1652,73104318,1674.01,T001674,61.7215,58.4655,10.279000000000002,,2.45,RGB,0.85,15.19,7.4549
1659,321041369,1681.01,T001681,81.6714,56.9636,10.97,1.01,0.93,MS,0.91,3.26,1.5376
1661,58542531,1683.01,283636,65.9797,27.8225,10.97,0.69,0.7,MS,1.06,2.39,3.0576
1662,85031598,1684.01,T001684,65.3458,62.2458,8.25,,2.99,RGB,0.95,11.73,1.1551
1664,102672709,1686.01,T001686,61.731,66.1196,10.411,1.16,1.46,MS,1.09,3.72,6.7021
1665,103448870,1687.01,T001687,66.8347,73.0239,10.507,1.02,0.98,MS,1.07,3.66,10.2596
1669,268334473,1691.01,T001691,272.4061,86.8596,10.134,1.03,1.0,MS,,3.5,16.7367
1672,353475866,1693.01,T001693,90.3085,34.7732,12.962,0.46,0.46,MS,,1.48,1.7669
1673,396740648,1694.01,T001694,97.7482,66.3607,11.446,0.84,0.82,MS,1.12,5.48,3.7701
1674,422756130,1695.01,T001695,21.9207,72.2964,12.989,0.51,0.52,MS,1.09,1.82,3.1343
1678,22705558,1699.01,T001699,125.1888,46.2037,11.402000000000001,1.0,1.04,MS,1.22,3.47,4.5486
